规则,描述,问题代码样例,问题解释,修复代码样例
@performance/high-frequency-log-check,"不建议在高频函数中使用Hilog。

高频函数包括：onTouch、onItemDragMove、onDragMove、onMouse、onVisibleAreaChange、onAreaChange、onScroll、onActionUpdate。","// Test.ets
import hilog from '@ohos.hilog';
@Entry
@Component
struct Index {
    build() {
            Column() {
                Scroll()
                    .onScroll(() => {
                        hilog.info(1001, 'Index', 'onScroll') // Avoid printing logs
                })
            }
    }
}",在滚动组件中触发滚动属于高频事件，而 onScroll 函数会在每次滚动时被触发。如果在 onScroll 函数中使用 hilog.info 进行日志记录，就会导致每次滚动操作都进行一次日志记录，这样的高频操作会对性能造成负面影响。通过移除高频函数中的 hilog 调用，减少了不必要的日志输出，从而降低了对系统性能的影响。,"// Test.ets
@Entry
@Component
struct Index {
  build() {
      Column() {
        Scroll()
          .onScroll(() => {
            const TAG = 'onScroll';
          })
      }
  }
}"
@performance/high-frequency-log-check,"不建议在高频函数中使用Hilog。

高频函数包括：onTouch、onItemDragMove、onDragMove、onMouse、onVisibleAreaChange、onAreaChange、onScroll、onActionUpdate。","import hilog from '@ohos.hilog';
@Entry
@Component
struct Index {
  build() {
    Button(""XXX"")
      .width(200)
      .height(100)
      .onTouch(() => {
        hilog.info(1001, 'Index', 'onTouch') // Avoid printing logs
      })
  }
}",在触摸事件中，onTouch 函数会在每次触摸时被触发。如果在 onTouch 函数中使用 hilog.debug 进行日志记录，就会导致每次触摸操作都进行一次日志记录，这样的高频操作会对性能造成负面影响。通过移除高频函数中的 hilog 调用，减少了不必要的日志输出，从而降低了对系统性能的影响。,"@Entry
@Component
struct Index {
  build() {
    Button(""XXX"")
      .width(200)
      .height(100)
      .onTouch(() => {
        const TAG = 'onTouch';
      })
  }
}"
@performance/high-frequency-log-check,"不建议在高频函数中使用Hilog。

高频函数包括：onTouch、onItemDragMove、onDragMove、onMouse、onVisibleAreaChange、onAreaChange、onScroll、onActionUpdate。","import hilog from '@ohos.hilog';
@Entry
@Component
struct Index {
  build() {
    Row(){
      Image(""XXX"")
        .width(200)
        .height(100)
        .draggable(true)
        .margin({ left: 15 })
        .border({ color: Color.Black, width: 1 })
        .onDragMove(() => {
          hilog.info(1001, 'Index', 'onDragMove')
      })
    }
  }
}",在拖拽组件中，onDragMove 函数会在每次拖动时被触发。如果在 onDragMove 函数中使用 hilog.warn 进行日志记录，就会导致每次拖动操作都进行一次日志记录，这样的高频操作会对性能造成负面影响。通过移除高频函数中的 hilog 调用，减少了不必要的日志输出，从而降低了对系统性能的影响。,"@Entry
@Component
struct Index {
  build() {
    Row(){
      Image(""XXX"")
        .width(200)
        .height(100)
        .draggable(true)
        .margin({ left: 15 })
        .border({ color: Color.Black, width: 1 })
        .onDragMove(() => {
          const TAG = 'onDragMove';
        })
    }
  }
}"
@performance/high-frequency-log-check,"不建议在高频函数中使用Hilog。

高频函数包括：onTouch、onItemDragMove、onDragMove、onMouse、onVisibleAreaChange、onAreaChange、onScroll、onActionUpdate。","import hilog from '@ohos.hilog';
@Entry
@Component
struct Index {
  build() {
    Button("""")
      .width(200)
      .height(100)
      .onMouse(() => {
        hilog.info(1001, 'Index', 'onMouse')
      })
  }
}",在鼠标事件中，onMouse 函数会在每次鼠标操作时被触发。如果在 onMouse 函数中使用 hilog.error 进行日志记录，就会导致每次鼠标操作都进行一次日志记录，这样的高频操作会对性能造成负面影响。通过移除高频函数中的 hilog 调用，减少了不必要的日志输出，从而降低了对系统性能的影响。,"@Entry
@Component
struct Index {
  build() {
    Button("""")
      .width(200)
      .height(100)
      .onMouse(() => {
        const TAG = 'onMouse';
      })
  }
}"
@performance/high-frequency-log-check,"不建议在高频函数中使用Hilog。

高频函数包括：onTouch、onItemDragMove、onDragMove、onMouse、onVisibleAreaChange、onAreaChange、onScroll、onActionUpdate。","import hilog from '@ohos.hilog';
@Entry
@Component
struct Index {
  build() {
    Row() {
      Slider({ value: 0, min: 0, max: 100 })
        .enabled(false)
        .height(4)
        .width(100)
        .trackThickness(3)
        .blockColor(Color.Red)
        .blockSize({ width: 4, height: 4 })
        .onVisibleAreaChange([0.0, 1.0], (isVisible: boolean, currentRatio: number) => {
          hilog.info(1001, 'Index', 'onVisibleAreaChange') // Avoid printing logs
        })
    }
  }
}",在可见区域变化事件中，onVisibleAreaChange 函数会在每次可见区域变化时被触发。如果在 onVisibleAreaChange 函数中使用 hilog.info 进行日志记录，就会导致每次可见区域变化操作都进行一次日志记录，这样的高频操作会对性能造成负面影响。通过移除高频函数中的 hilog 调用，减少了不必要的日志输出，从而降低了对系统性能的影响。,"@Entry
@Component
struct Index {
  build() {
    Row() {
      Slider({ value: 0, min: 0, max: 100 })
        .enabled(false)
        .height(4)
        .width(100)
        .trackThickness(3)
        .blockColor(Color.Red)
        .blockSize({ width: 4, height: 4 })
        .onVisibleAreaChange([0.0, 1.0], (isVisible: boolean, currentRatio: number) => {
          const TAG = 'onVisibleAreaChange';
        })
    }
  }
}"
@performance/no-high-loaded-frame-rate-range,不允许锁定最高帧率运行。,"let sync: displaySync.DisplaySync = displaySync.create();
sync.setExpectedFrameRateRange({
  expected: 120,
  min: 120,
  max: 120,
});",在给定的代码中，通过调用 setExpectedFrameRateRange 方法，将帧率锁定在 120 帧每秒 (FPS)，会对设备的 CPU 和 GPU 造成很大的性能负担，尤其是在移动设备上。通过将帧率范围设置为 45-60 FPS，可以确保应用在大多数设备上都能稳定运行，同时不会对设备造成不必要的性能负担。这样可以平衡性能和电池消耗，同时确保用户体验的一致性。,"let sync: displaySync.DisplaySync = displaySync.create();
sync.setExpectedFrameRateRange({
  expected: 60,
  min: 45,
  max: 60,
});"
@performance/no-high-loaded-frame-rate-range,不允许锁定最高帧率运行。,"let range : ExpectedFrameRateRange = {
  expected: 120,
  min: 120,
  max: 120
};
let backDisplaySyncSlow: displaySync.DisplaySync;
backDisplaySyncSlow = displaySync.create();
backDisplaySyncSlow.setExpectedFrameRateRange(range);",在给定的代码中，通过调用 setExpectedFrameRateRange 方法，将帧率锁定在 120 帧每秒 (FPS)，会对设备的 CPU 和 GPU 造成很大的性能负担，尤其是在移动设备上。通过将帧率范围设置为 0-30 FPS，可以确保应用在大多数设备上都能稳定运行，同时不会对设备造成不必要的性能负担。这样可以平衡性能和电池消耗，同时确保用户体验的一致性。,"let range : ExpectedFrameRateRange = {
  expected: 30,
  min: 0,
  max: 120
};
let backDisplaySyncSlow: displaySync.DisplaySync;
backDisplaySyncSlow = displaySync.create();
backDisplaySyncSlow.setExpectedFrameRateRange(range);"
@performance/no-high-loaded-frame-rate-range,不允许锁定最高帧率运行。,"@Entry
@Component
struct Index {
  build() {
    Button()
      .onClick(() => {
        animateTo({
          duration: 1200,
          iterations: 10,
          expectedFrameRateRange: { 
            expected: 120,
            min: 120,
            max: 120,
          },
        }, () => {
        })
      })
  }
}",在给定的代码中，通过设置expectedFrameRateRange ，将帧率锁定在 120 帧每秒 (FPS)，会对设备的 CPU 和 GPU 造成很大的性能负担，尤其是在移动设备上。通过将帧率范围设置为 0-120 FPS，可以确保应用在大多数设备上都能稳定运行，同时不会对设备造成不必要的性能负担。这样可以平衡性能和电池消耗，同时确保用户体验的一致性。,"@Entry
@Component
struct Index {
  build() {
    Button()
      .onClick(() => {
        animateTo({
          duration: 1200,
          iterations: 10,
          expectedFrameRateRange: { 
            expected: 30,
            min: 0,
            max: 120,
          },
        }, () => {
        })
      })
  }
}"
@performance/no-high-loaded-frame-rate-range,不允许锁定最高帧率运行。,"Slider({ value: this.curTime, min: 0, max: 100 })
  .enabled(false)
  .height(4)
  .width(this.xComponentWidth)
  .trackThickness(3)
  .blockColor(Color.Red)
  .blockSize({ width: 4, height: 4 })
  .onVisibleAreaChange([0.0, 1.0], (isVisible: boolean, currentRatio: number) => {
    if (isVisible && currentRatio >= 1.0) {
      animateTo({
        duration: 30000,
        iterations: -1,
        expectedFrameRateRange: {
          expected: 120,
          min: 120,
          max: 120,
        },
      }, () => {
        if (this.curTime >= 100) {
          this.curTime = 0;
        }
        for (let i = 0; i < 101; i++) {
          this.curTime += 1;
        }
      })
    }
  })",在给定的代码中，通过设置expectedFrameRateRange ，将帧率锁定在 120 帧每秒 (FPS)，会对设备的 CPU 和 GPU 造成很大的性能负担，尤其是在移动设备上。通过将帧率范围设置为 0-120 FPS，可以确保应用在大多数设备上都能稳定运行，同时不会对设备造成不必要的性能负担。这样可以平衡性能和电池消耗，同时确保用户体验的一致性。,"Slider({ value: this.curTime, min: 0, max: 100 })
  .enabled(false)
  .height(4)
  .width(this.xComponentWidth)
  .trackThickness(3)
  .blockColor(Color.Red)
  .blockSize({ width: 4, height: 4 })
  .onVisibleAreaChange([0.0, 1.0], (isVisible: boolean, currentRatio: number) => {
    if (isVisible && currentRatio >= 1.0) {
      animateTo({
        duration: 30000,
        iterations: -1,
        expectedFrameRateRange: {
          expected: 30,
          min: 0,
          max: 120,
        },
      }, () => {
        if (this.curTime >= 100) {
          this.curTime = 0;
        }
        for (let i = 0; i < 101; i++) {
          this.curTime += 1;
        }
      })
    }
  })"
@performance/no-high-loaded-frame-rate-range,不允许锁定最高帧率运行。,"CreateDisplaySyncSlow() {
    let range : ExpectedFrameRateRange = {
      expected: 120,
      min: 120,
      max: 120
    };

    let draw30 = (intervalInfo: displaySync.IntervalInfo) => {
      if (this.isBigger_30) {
        this.drawFirstSize += 1;
        if (this.drawFirstSize > 150) {
          this.isBigger_30 = false;
        }
      } else {
        this.drawFirstSize -= 1;
        if (this.drawFirstSize < 25) {
          this.isBigger_30 = true;
        }
      }
    };

    this.backDisplaySyncSlow = displaySync.create();
    this.backDisplaySyncSlow.setExpectedFrameRateRange(range);
    this.backDisplaySyncSlow.on(""frame"", draw30);
}",在给定的代码中，通过设置expectedFrameRateRange ，将帧率锁定在 120 帧每秒 (FPS)，会对设备的 CPU 和 GPU 造成很大的性能负担，尤其是在移动设备上。通过将帧率范围设置为 0-120 FPS，可以确保应用在大多数设备上都能稳定运行，同时不会对设备造成不必要的性能负担。这样可以平衡性能和电池消耗，同时确保用户体验的一致性。,"CreateDisplaySyncSlow() {
    let range : ExpectedFrameRateRange = {
      expected: 30,
      min: 0,
      max: 120
    };

    let draw30 = (intervalInfo: displaySync.IntervalInfo) => {
      if (this.isBigger_30) {
        this.drawFirstSize += 1;
        if (this.drawFirstSize > 150) {
          this.isBigger_30 = false;
        }
      } else {
        this.drawFirstSize -= 1;
        if (this.drawFirstSize < 25) {
          this.isBigger_30 = true;
        }
      }
    };

    this.backDisplaySyncSlow = displaySync.create();
    this.backDisplaySyncSlow.setExpectedFrameRateRange(range);
    this.backDisplaySyncSlow.on(""frame"", draw30);
}"
